c_CI_Cat,c_Closure_Code,q_No_of_Reassignments,q_No_of_Related_Incidents,q_No_of_Related_Interactions,t_Close_Time,t_Open_Time,t_ReopenFlag,t_TicketWIPDurationDays,y_Priority
1,2,12,0.0,1.0,2013-11-08 15:22:00,2013-01-23 14:39:00,0,289.0298611111112,3
11,6,7,0.0,1.0,2014-01-27 12:33:00,2013-01-30 16:37:00,0,361.83055555555563,3
11,4,3,1.0,1.0,2014-02-12 09:05:00,2013-01-31 17:27:00,0,376.65138888888885,3
1,4,4,0.0,1.0,2014-01-02 15:22:00,2013-02-04 14:38:00,0,332.0305555555556,3
1,4,9,0.0,1.0,2013-12-23 13:04:00,2013-02-19 11:52:00,0,307.05,3
1,4,2,0.0,1.0,2013-11-08 13:57:00,2013-02-20 10:14:00,0,261.15486111111113,3
11,4,1,0.0,3.0,2014-03-12 10:16:00,2013-02-25 16:03:00,0,379.75902777777776,3
1,4,2,0.0,1.0,2013-11-12 13:40:00,2013-02-26 16:44:00,0,258.87222222222215,3
1,4,2,0.0,2.0,2013-12-03 10:36:00,2013-02-28 12:23:00,1,277.92569444444445,3
1,2,0,0.0,1.0,2013-11-20 16:38:00,2013-02-28 16:49:00,0,264.9923611111111,3
11,2,2,0.0,1.0,2013-11-08 15:33:00,2013-03-04 12:31:00,0,249.1263888888889,3
1,6,4,0.0,1.0,2013-11-08 15:35:00,2013-03-05 13:58:00,0,248.0673611111111,2
1,4,25,0.0,2.0,2013-10-09 13:41:00,2013-03-11 09:08:00,1,212.18958333333333,4
11,2,8,0.0,1.0,2013-11-08 15:34:00,2013-03-12 09:54:00,0,241.23611111111111,3
1,4,4,0.0,2.0,2014-01-06 11:51:00,2013-03-15 15:25:00,1,296.8513888888889,3
11,4,15,1.0,2.0,2014-03-24 13:28:00,2013-03-26 12:23:00,1,363.04513888888886,2
11,0,9,1.0,3.0,2013-12-30 10:36:00,2013-03-27 10:07:00,1,278.0201388888889,3
1,4,26,0.0,2.0,2014-01-16 14:21:00,2013-04-04 12:33:00,1,287.075,3
1,4,7,0.0,1.0,2013-12-30 10:40:00,2013-04-05 10:17:00,0,269.01597222222216,2
1,4,6,0.0,2.0,2013-12-05 12:00:00,2013-04-05 10:19:00,1,244.0701388888889,3
1,6,2,0.0,1.0,2013-11-08 15:36:00,2013-04-09 12:49:00,0,213.11597222222218,3
1,2,4,0.0,1.0,2013-11-08 15:41:00,2013-04-10 13:20:00,0,212.09791666666663,3
1,2,4,0.0,1.0,2013-11-08 15:46:00,2013-04-10 15:13:00,0,212.02291666666667,2
1,6,9,1.0,14.0,2013-11-27 14:23:00,2013-04-16 14:51:00,0,224.98055555555558,3
1,7,1,1.0,1.0,2014-01-22 16:20:00,2013-04-17 09:06:00,0,280.3013888888889,4
1,4,1,0.0,1.0,2013-10-08 11:25:00,2013-04-17 14:31:00,0,173.87083333333337,3
11,6,4,0.0,2.0,2013-10-16 12:20:00,2013-04-19 08:26:00,0,180.1625,3
1,6,8,0.0,1.0,2014-01-29 15:31:00,2013-04-22 12:07:00,0,282.14166666666665,3
1,4,1,0.0,1.0,2013-10-12 16:28:00,2013-04-24 15:24:00,0,171.04444444444445,3
1,4,1,0.0,1.0,2013-12-09 14:32:00,2013-04-25 10:20:00,0,228.175,2
1,4,8,1.0,1.0,2013-11-12 13:32:00,2013-04-25 14:37:00,0,200.95486111111111,3
1,1,2,0.0,1.0,2013-11-12 13:26:00,2013-04-25 14:51:00,0,200.94097222222226,3
1,4,4,0.0,1.0,2013-11-12 13:33:00,2013-04-26 15:33:00,0,199.91666666666663,3
1,4,4,0.0,1.0,2013-11-12 13:34:00,2013-05-01 11:47:00,0,195.07430555555558,3
1,6,9,0.0,1.0,2014-01-09 14:27:00,2013-05-03 12:00:00,0,251.10208333333333,4
11,4,4,0.0,1.0,2013-11-12 13:35:00,2013-05-06 10:11:00,0,190.14166666666668,3
1,7,2,0.0,1.0,2013-11-12 14:03:00,2013-05-06 13:50:00,0,190.00902777777782,3
1,4,8,0.0,1.0,2013-12-20 15:33:00,2013-05-07 11:44:00,0,227.15902777777774,3
1,2,3,0.0,1.0,2014-01-07 09:50:00,2013-05-07 11:44:00,0,244.9208333333333,3
1,4,13,0.0,1.0,2013-12-05 11:19:00,2013-05-07 14:04:00,0,211.88541666666663,3
1,4,15,0.0,2.0,2013-12-09 08:42:00,2013-05-07 15:04:00,1,215.73472222222225,4
1,4,8,1.0,1.0,2013-12-05 11:16:00,2013-05-07 15:12:00,0,211.8361111111111,3
1,4,2,0.0,1.0,2013-11-12 13:39:00,2013-05-13 11:19:00,0,183.09722222222226,2
1,6,7,0.0,2.0,2014-03-05 08:34:00,2013-05-15 12:34:00,1,293.8333333333333,3
1,7,6,0.0,1.0,2014-01-17 15:00:00,2013-05-22 00:42:00,1,240.59583333333333,2
1,4,2,0.0,1.0,2013-11-12 13:36:00,2013-05-22 10:09:00,0,174.14375,3
1,4,22,0.0,7.0,2013-10-14 14:15:00,2013-05-22 11:21:00,1,145.12083333333334,3
1,4,10,0.0,1.0,2013-11-12 14:06:00,2013-05-22 12:01:00,0,174.08680555555554,4
1,7,4,0.0,1.0,2013-11-12 14:05:00,2013-05-22 14:15:00,0,173.99305555555554,3
1,4,3,0.0,1.0,2013-10-10 14:49:00,2013-05-23 10:48:00,0,140.16736111111112,2
1,4,2,0.0,1.0,2013-11-12 13:37:00,2013-05-23 14:38:00,0,172.95763888888888,3
1,4,1,0.0,3.0,2013-10-17 14:23:00,2013-05-24 08:05:00,0,146.2625,2
1,4,0,0.0,3.0,2013-12-05 08:28:00,2013-05-24 09:34:00,1,194.95416666666668,3
11,4,2,0.0,1.0,2013-11-12 13:41:00,2013-05-27 15:38:00,0,168.91875,3
1,2,5,0.0,1.0,2013-11-05 10:36:00,2013-05-27 16:28:00,1,161.75555555555556,4
1,4,2,0.0,1.0,2013-11-12 13:43:00,2013-05-31 09:20:00,0,165.1826388888889,2
11,4,4,0.0,1.0,2013-11-12 13:47:00,2013-06-03 10:09:00,0,162.1513888888889,3
1,4,2,0.0,1.0,2013-11-12 13:38:00,2013-06-04 09:25:00,0,161.17569444444445,3
1,4,2,0.0,1.0,2013-11-12 13:42:00,2013-06-04 10:00:00,0,161.15416666666667,3
1,7,3,1.0,2.0,2014-01-29 10:47:00,2013-06-04 16:13:00,0,238.7736111111111,3
11,6,1,0.0,1.0,2013-11-20 16:43:00,2013-06-05 08:24:00,0,168.34652777777774,4
1,3,6,0.0,4.0,2013-12-04 14:54:00,2013-06-06 11:14:00,1,181.15277777777774,3
1,7,15,0.0,1.0,2013-11-15 15:27:00,2013-06-10 08:53:00,0,158.27361111111108,3
1,4,3,0.0,1.0,2014-01-29 14:31:00,2013-06-10 13:00:00,0,233.06319444444443,2
1,2,26,0.0,1.0,2013-11-12 14:18:00,2013-06-10 16:33:00,0,154.90625,3
1,4,2,0.0,1.0,2013-11-12 13:43:00,2013-06-10 16:44:00,0,154.87430555555557,3
1,6,5,0.0,2.0,2013-10-16 14:09:00,2013-06-11 10:28:00,1,127.15347222222222,3
1,4,7,0.0,1.0,2013-11-12 14:05:00,2013-06-12 16:48:00,0,152.88680555555555,3
1,4,2,0.0,1.0,2013-11-12 13:44:00,2013-06-12 14:57:00,0,152.94930555555555,3
11,7,2,0.0,5.0,2013-11-04 14:01:00,2013-06-13 10:23:00,0,144.1513888888889,3
1,4,1,0.0,1.0,2013-12-09 15:05:00,2013-06-13 10:42:00,0,179.1826388888889,2
1,4,9,0.0,1.0,2013-12-18 09:10:00,2013-06-13 11:48:00,0,187.89027777777775,4
1,6,2,0.0,2.0,2013-11-21 10:25:00,2013-06-14 13:42:00,0,159.86319444444445,4
1,4,2,0.0,1.0,2013-11-12 13:46:00,2013-06-17 11:11:00,0,148.10763888888889,2
1,4,4,0.0,1.0,2013-11-12 13:46:00,2013-06-17 14:47:00,0,147.95763888888888,3
1,6,6,0.0,1.0,2013-11-08 15:06:00,2013-06-19 05:54:00,0,142.38333333333333,3
1,6,0,0.0,4.0,2013-10-10 17:26:00,2013-06-19 15:33:00,0,113.07847222222222,4
3,6,7,0.0,1.0,2014-02-13 15:14:00,2013-06-19 15:46:00,0,238.97777777777782,3
1,2,6,0.0,2.0,2014-02-05 07:33:00,2013-06-20 13:01:00,1,229.77222222222218,4
1,4,2,0.0,1.0,2013-11-12 13:51:00,2013-06-24 14:43:00,0,140.9638888888889,3
1,4,2,0.0,1.0,2013-11-12 13:47:00,2013-06-26 11:36:00,0,139.09097222222223,3
1,6,2,2.0,1.0,2013-11-18 09:15:00,2013-06-26 12:09:00,0,144.87916666666666,4
1,4,13,0.0,2.0,2014-02-13 15:17:00,2013-06-27 10:11:00,1,231.2125,3
11,6,6,0.0,1.0,2013-11-12 15:27:00,2013-06-27 10:24:00,0,138.21041666666667,2
1,4,4,0.0,1.0,2013-11-12 13:49:00,2013-06-27 12:51:00,0,138.04027777777782,3
1,6,1,0.0,1.0,2013-12-09 15:08:00,2013-06-28 07:52:00,0,164.30277777777778,2
1,6,1,0.0,1.0,2014-01-08 15:24:00,2013-06-28 08:42:00,0,194.27916666666667,4
1,2,2,0.0,1.0,2013-11-12 14:09:00,2013-06-28 09:11:00,0,137.20694444444445,3
11,7,3,0.0,1.0,2013-10-04 14:23:00,2013-06-28 12:06:00,0,98.09513888888887,2
1,4,2,0.0,1.0,2013-11-12 13:49:00,2013-07-01 11:30:00,0,134.09652777777777,3
1,6,6,0.0,1.0,2013-12-19 11:19:00,2013-07-01 14:25:00,0,170.87083333333334,3
11,6,3,0.0,1.0,2014-02-17 12:58:00,2013-07-02 11:22:00,0,230.06666666666663,3
1,4,10,0.0,1.0,2013-11-12 14:41:00,2013-07-03 14:45:00,0,131.99722222222223,3
1,3,5,0.0,3.0,2013-10-15 14:07:00,2013-07-04 10:06:00,0,103.16736111111109,3
11,6,2,0.0,1.0,2013-10-02 08:10:00,2013-07-04 10:01:00,0,89.92291666666668,4
1,4,7,0.0,1.0,2013-10-01 16:28:00,2013-07-04 15:27:00,0,89.04236111111109,4
1,3,2,1.0,1.0,2013-11-18 09:24:00,2013-07-05 13:35:00,0,135.82569444444445,3
1,4,0,0.0,1.0,2013-12-04 14:25:00,2013-07-08 09:13:00,0,149.21666666666667,2
1,6,2,0.0,1.0,2013-11-18 09:13:00,2013-07-08 09:42:00,0,132.97986111111112,4
1,4,7,0.0,1.0,2013-10-18 13:30:00,2013-07-08 11:29:00,0,102.08402777777779,3
1,7,12,0.0,1.0,2013-10-15 09:27:00,2013-07-08 15:49:00,0,98.73472222222222,3
1,6,10,0.0,1.0,2013-10-08 08:40:00,2013-07-09 12:04:00,0,90.85833333333332,3
1,2,7,0.0,1.0,2013-11-04 08:39:00,2013-07-09 15:43:00,0,117.70555555555555,4
1,4,1,0.0,1.0,2013-12-09 14:58:00,2013-07-09 16:18:00,0,152.94444444444446,2
1,6,12,0.0,1.0,2013-10-30 12:48:00,2013-07-10 10:59:00,0,112.07569444444445,4
1,6,2,1.0,1.0,2013-11-18 09:18:00,2013-07-10 13:57:00,0,130.80625,3
1,4,2,0.0,1.0,2013-11-12 14:03:00,2013-07-11 09:28:00,0,124.19097222222223,3
1,2,3,0.0,1.0,2014-01-03 11:34:00,2013-07-11 11:20:00,0,176.00972222222222,3
11,6,13,0.0,2.0,2014-03-27 15:13:00,2013-07-11 10:56:00,1,259.17847222222224,3
1,4,2,0.0,1.0,2013-11-12 14:09:00,2013-07-11 12:01:00,0,124.08888888888887,2
11,6,4,0.0,1.0,2013-10-01 10:11:00,2013-07-11 15:21:00,0,81.78472222222223,3
1,4,4,0.0,1.0,2013-10-09 15:00:00,2013-07-11 16:08:00,0,89.95277777777778,2
1,4,1,0.0,1.0,2013-10-09 14:20:00,2013-07-12 08:15:00,0,89.25347222222223,2
1,2,4,0.0,1.0,2013-11-12 14:11:00,2013-07-12 14:13:00,0,122.99861111111113,3
11,5,2,0.0,1.0,2013-11-27 15:36:00,2013-07-12 15:11:00,0,138.01736111111111,3
1,4,2,0.0,1.0,2013-11-12 14:07:00,2013-07-15 09:04:00,0,120.21041666666666,2
11,7,3,0.0,1.0,2013-11-12 10:17:00,2013-07-15 09:53:00,1,120.01666666666668,3
1,4,2,0.0,1.0,2013-10-22 20:05:00,2013-07-15 14:38:00,0,99.22708333333334,3
1,6,3,0.0,2.0,2014-01-06 14:48:00,2013-07-15 14:39:00,0,175.00625,3
1,4,2,0.0,1.0,2013-11-12 14:08:00,2013-07-15 14:23:00,0,119.98958333333331,4
1,6,3,0.0,2.0,2013-10-01 14:20:00,2013-07-15 15:01:00,1,77.97152777777778,2
1,7,3,0.0,1.0,2013-10-30 13:14:00,2013-07-16 09:52:00,0,106.14027777777778,2
1,4,3,0.0,2.0,2013-12-09 14:31:00,2013-07-16 08:23:00,1,146.25555555555556,2
1,4,5,0.0,1.0,2013-11-12 14:09:00,2013-07-16 15:05:00,0,118.96111111111112,3
1,4,2,0.0,1.0,2013-12-09 14:29:00,2013-07-16 15:43:00,0,145.94861111111112,3
1,6,3,0.0,370.0,2013-10-10 12:17:00,2013-07-16 15:43:00,0,85.85694444444445,2
1,4,12,1.0,1.0,2013-12-31 12:58:00,2013-07-16 17:28:00,0,167.8125,3
1,4,10,0.0,1.0,2013-11-11 12:45:00,2013-07-17 09:23:00,0,117.14027777777778,3
3,8,10,0.0,2.0,2013-10-10 10:35:00,2013-07-17 08:31:00,1,85.08611111111111,4
11,4,13,0.0,1.0,2013-10-01 15:19:00,2013-07-17 10:13:00,0,76.2125,4
1,6,4,1.0,1.0,2014-03-05 12:03:00,2013-07-17 14:02:00,0,230.91736111111112,3
1,2,6,0.0,1.0,2014-01-29 13:29:00,2013-07-17 14:51:00,0,195.94305555555562,2
1,7,8,0.0,3.0,2013-10-15 13:52:00,2013-07-19 10:14:00,1,88.15138888888889,3
1,4,6,0.0,1.0,2013-11-12 14:42:00,2013-07-22 14:18:00,0,113.01666666666668,3
11,4,2,1.0,1.0,2014-01-10 08:35:00,2013-07-23 09:46:00,0,170.95069444444445,3
1,4,6,0.0,1.0,2013-11-12 14:23:00,2013-07-23 10:15:00,0,112.17222222222222,3
1,0,5,1.0,1.0,2013-12-20 11:28:00,2013-07-23 11:19:00,0,150.00625,3
1,4,1,0.0,1.0,2013-12-09 14:25:00,2013-07-23 11:48:00,0,139.10902777777778,2
1,4,6,0.0,1.0,2013-11-12 14:06:00,2013-07-23 13:55:00,0,112.00763888888888,3
1,7,2,0.0,1.0,2013-10-01 16:28:00,2013-07-24 12:04:00,0,69.18333333333334,2
1,6,2,0.0,1.0,2013-10-01 16:41:00,2013-07-25 11:52:00,0,68.20069444444445,4
1,4,2,0.0,1.0,2013-11-12 14:07:00,2013-07-25 15:19:00,0,109.95,3
1,4,2,0.0,1.0,2013-11-12 14:06:00,2013-07-26 09:52:00,0,109.17638888888891,3
1,2,2,0.0,1.0,2013-11-12 14:07:00,2013-07-26 13:18:00,0,109.03402777777778,3
1,7,9,1.0,1.0,2013-12-31 13:06:00,2013-07-29 09:58:00,0,155.13055555555556,3
1,6,0,0.0,2.0,2013-10-10 12:05:00,2013-07-29 11:00:00,1,73.0451388888889,4
1,4,2,0.0,1.0,2013-11-28 14:06:00,2013-07-29 12:53:00,0,122.05069444444445,3
1,2,8,0.0,1.0,2013-11-12 14:19:00,2013-07-29 11:13:00,0,106.12916666666666,3
1,4,0,0.0,1.0,2013-12-09 08:38:00,2013-07-29 17:01:00,0,132.65069444444444,4
3,1,7,0.0,2.0,2013-11-19 13:29:00,2013-07-30 08:32:00,1,112.20625,4
1,4,2,0.0,1.0,2013-11-12 14:18:00,2013-07-30 11:31:00,0,105.11597222222224,3
1,4,4,0.0,1.0,2013-11-12 14:34:00,2013-07-30 12:48:00,0,105.07361111111109,3
1,6,19,0.0,9.0,2013-12-02 11:37:00,2013-08-01 11:56:00,1,122.98680555555555,3
1,6,3,0.0,1.0,2013-10-21 14:19:00,2013-08-01 13:26:00,0,81.03680555555556,3
1,4,4,0.0,1.0,2013-11-12 14:14:00,2013-08-05 12:03:00,0,99.09097222222222,3
1,2,2,0.0,1.0,2013-11-12 14:09:00,2013-08-05 14:20:00,0,98.99236111111112,3
1,6,10,0.0,1.0,2013-10-25 08:30:00,2013-08-06 09:22:00,0,79.96388888888889,3
3,4,9,0.0,1.0,2013-11-27 16:39:00,2013-08-06 15:48:00,0,113.03541666666666,2
1,4,2,0.0,1.0,2013-11-12 14:15:00,2013-08-07 09:41:00,0,97.19027777777778,3
1,4,6,0.0,1.0,2013-11-12 14:14:00,2013-08-07 12:49:00,0,97.05902777777777,3
1,6,6,0.0,1.0,2013-12-19 11:20:00,2013-08-07 13:41:00,0,133.90208333333334,3
1,4,2,0.0,1.0,2013-12-06 10:35:00,2013-08-07 14:38:00,0,120.83125,3
1,2,3,0.0,1.0,2013-10-15 13:31:00,2013-08-07 14:40:00,0,68.95208333333333,3
1,4,2,0.0,1.0,2013-11-12 14:05:00,2013-08-07 15:51:00,0,96.92638888888891,3
1,7,5,0.0,3.0,2013-11-08 22:01:00,2013-08-07 15:57:00,1,93.25277777777778,3
1,4,7,0.0,2.0,2014-03-25 12:37:00,2013-08-08 09:30:00,1,229.1298611111111,3
11,6,4,0.0,1.0,2013-10-07 14:17:00,2013-08-08 09:59:00,0,60.17916666666667,3
1,6,11,0.0,1.0,2013-10-14 15:38:00,2013-08-08 12:01:00,0,67.15069444444444,3
1,6,3,0.0,2.0,2013-10-01 08:06:00,2013-08-08 15:30:00,1,53.69166666666667,3
1,3,13,0.0,1.0,2013-10-15 15:52:00,2013-08-08 15:39:00,0,68.00902777777777,4
1,4,1,0.0,1.0,2013-10-21 09:28:00,2013-08-09 11:59:00,0,72.89513888888891,2
11,4,4,1.0,2.0,2014-02-12 09:02:00,2013-08-12 10:16:00,0,183.94861111111112,3
1,6,14,2.0,11.0,2013-11-18 10:34:00,2013-08-12 11:03:00,1,97.97986111111109,3
1,4,5,0.0,1.0,2013-10-03 11:06:00,2013-08-12 14:42:00,0,51.85,3
1,7,3,0.0,1.0,2013-12-31 13:18:00,2013-08-13 10:11:00,0,140.1298611111111,3
1,6,13,0.0,1.0,2013-10-15 14:49:00,2013-08-13 10:38:00,0,63.17430555555556,3
1,4,3,0.0,54.0,2013-11-21 13:02:00,2013-08-13 11:31:00,1,100.06319444444445,3
1,4,6,1.0,1.0,2014-01-10 08:18:00,2013-08-13 14:34:00,0,149.73888888888888,3
1,6,7,0.0,1.0,2013-10-04 15:21:00,2013-08-13 16:41:00,0,51.944444444444436,4
11,4,3,0.0,1.0,2013-10-21 20:26:00,2013-08-14 13:04:00,0,68.30694444444444,4
1,4,10,0.0,1.0,2013-11-04 14:18:00,2013-08-15 18:40:00,0,80.81805555555556,2
1,4,4,0.0,1.0,2013-12-05 11:20:00,2013-08-16 09:10:00,0,111.09027777777777,3
1,6,2,0.0,1.0,2013-10-07 11:07:00,2013-08-19 09:59:00,0,49.047222222222224,3
1,2,7,1.0,1.0,2014-02-24 16:42:00,2013-08-19 14:14:00,0,189.10277777777782,3
1,4,14,1.0,1.0,2013-12-09 15:50:00,2013-08-19 14:08:00,0,112.07083333333334,3
1,6,5,0.0,1.0,2013-10-01 15:20:00,2013-08-19 16:21:00,0,42.957638888888894,4
11,6,2,0.0,1.0,2013-10-09 09:30:00,2013-08-19 16:18:00,0,50.71666666666667,3
11,2,1,0.0,1.0,2013-10-21 10:10:00,2013-08-19 16:31:00,0,62.73541666666666,3
1,2,9,0.0,1.0,2013-10-01 14:24:00,2013-08-20 10:51:00,0,42.14791666666667,2
1,6,7,0.0,3.0,2013-10-15 15:26:00,2013-08-20 15:40:00,0,55.99027777777778,3
1,4,6,0.0,1.0,2013-11-12 14:35:00,2013-08-21 09:26:00,0,83.21458333333334,3
1,4,4,0.0,1.0,2013-10-14 10:26:00,2013-08-21 09:32:00,0,54.0375,3
1,8,2,0.0,1.0,2013-10-01 16:38:00,2013-08-21 11:20:00,0,41.22083333333333,2
1,6,7,0.0,1.0,2013-10-31 14:03:00,2013-08-21 12:15:00,0,71.075,2
1,4,0,0.0,1.0,2013-10-21 15:29:00,2013-08-21 13:13:00,0,61.094444444444434,3
11,4,7,0.0,4.0,2013-10-31 10:54:00,2013-08-22 12:12:00,0,69.94583333333334,3
1,4,2,0.0,1.0,2013-12-19 10:32:00,2013-08-22 13:09:00,0,118.89097222222222,2
11,6,17,0.0,1.0,2013-10-15 15:35:00,2013-08-22 14:37:00,0,54.040277777777774,3
1,6,2,0.0,1.0,2014-01-29 13:45:00,2013-08-23 11:34:00,0,159.09097222222226,3
1,4,4,0.0,1.0,2013-11-12 14:42:00,2013-08-23 11:42:00,0,81.125,3
1,6,11,0.0,5.0,2013-11-08 09:38:00,2013-08-23 12:41:00,1,76.87291666666667,3
1,6,10,0.0,2.0,2013-10-03 11:19:00,2013-08-23 13:15:00,1,40.91944444444445,4
1,7,7,0.0,7.0,2013-10-16 08:53:00,2013-08-23 15:44:00,1,53.71458333333333,3
1,1,1,0.0,1.0,2013-10-03 14:42:00,2013-08-26 13:07:00,0,38.06597222222222,3
1,4,1,0.0,1.0,2013-10-07 12:17:00,2013-08-26 15:01:00,0,41.88611111111111,4
1,4,22,0.0,2.0,2013-12-10 11:09:00,2013-08-26 14:33:00,0,105.85833333333332,3
3,6,1,0.0,1.0,2014-01-06 14:46:00,2013-08-26 13:49:00,0,133.03958333333333,3
11,6,2,0.0,1.0,2013-10-14 09:12:00,2013-08-26 14:49:00,0,48.765972222222224,3
1,4,7,2.0,1.0,2013-12-31 13:48:00,2013-08-26 15:38:00,0,126.92361111111113,3
1,7,0,0.0,4.0,2013-10-18 15:03:00,2013-08-27 09:32:00,1,52.229861111111106,4
1,0,13,0.0,2.0,2013-10-18 15:07:00,2013-08-27 10:09:00,1,52.20694444444445,4
1,4,3,0.0,2.0,2013-10-09 07:35:00,2013-08-27 14:58:00,1,42.69236111111111,3
1,4,9,0.0,1.0,2013-10-11 10:48:00,2013-08-27 11:18:00,0,44.97916666666666,4
1,6,2,0.0,1.0,2013-10-04 15:20:00,2013-08-27 14:22:00,0,38.040277777777774,4
1,6,5,0.0,1.0,2013-10-29 09:44:00,2013-08-27 17:03:00,0,62.69513888888889,4
1,2,2,0.0,1.0,2013-10-29 10:00:00,2013-08-28 10:58:00,0,61.959722222222226,3
11,6,2,0.0,1.0,2013-10-04 12:30:00,2013-08-28 11:12:00,0,37.05416666666667,4
1,4,6,0.0,1.0,2013-11-12 14:43:00,2013-08-28 12:05:00,0,76.10972222222222,3
1,4,2,0.0,2.0,2013-10-11 12:11:00,2013-08-29 11:03:00,1,43.047222222222224,4
3,6,0,0.0,1.0,2013-10-09 12:58:00,2013-08-29 12:54:00,0,41.00277777777778,4
1,6,5,0.0,1.0,2013-10-30 12:03:00,2013-08-29 11:19:00,0,62.030555555555566,3
1,2,2,0.0,1.0,2013-10-08 11:22:00,2013-08-29 15:37:00,0,39.82291666666666,3
1,2,2,0.0,1.0,2013-10-07 12:11:00,2013-08-29 14:36:00,0,38.899305555555564,3
1,6,1,0.0,1.0,2013-10-30 12:04:00,2013-08-30 08:45:00,0,61.13819444444446,3
1,4,4,0.0,2.0,2013-11-08 09:04:00,2013-08-30 08:45:00,1,70.01319444444445,4
3,6,14,0.0,1.0,2013-10-18 08:45:00,2013-08-30 10:27:00,0,48.92916666666667,3
1,6,2,1.0,1.0,2013-11-18 09:10:00,2013-08-30 08:54:00,0,80.01111111111109,3
1,4,9,0.0,1.0,2013-10-28 12:42:00,2013-08-30 16:44:00,0,58.83194444444445,3
1,7,3,0.0,4.0,2013-10-28 11:14:00,2013-08-30 16:29:00,1,58.78125,3
3,1,7,0.0,2.0,2013-10-14 17:16:00,2013-09-02 10:01:00,1,42.302083333333336,4
1,4,17,0.0,1.0,2013-10-11 13:21:00,2013-09-02 10:10:00,0,39.13263888888889,3
11,6,4,0.0,1.0,2013-10-07 14:22:00,2013-09-02 15:09:00,0,34.96736111111111,3
1,4,4,0.0,1.0,2013-11-05 11:09:00,2013-09-02 15:53:00,0,63.80277777777778,3
1,6,15,0.0,1.0,2013-10-07 14:26:00,2013-09-02 12:58:00,0,35.06111111111111,2
11,6,4,0.0,1.0,2014-02-13 14:38:00,2013-09-02 14:52:00,0,163.99027777777778,3
11,4,4,0.0,2.0,2013-11-04 08:02:00,2013-09-02 15:05:00,1,62.70625,3
1,6,12,1.0,3.0,2013-11-13 11:43:00,2013-09-03 08:19:00,1,71.14166666666667,4
3,1,2,0.0,1.0,2013-11-19 13:27:00,2013-09-02 15:51:00,0,77.9,4
1,6,10,0.0,2.0,2013-10-03 16:47:00,2013-09-03 11:37:00,1,30.215277777777782,3
1,4,14,1.0,1.0,2013-12-13 13:13:00,2013-09-03 13:16:00,0,100.99791666666668,3
11,6,3,0.0,1.0,2013-10-11 10:44:00,2013-09-03 14:52:00,0,37.82777777777777,3
1,4,0,0.0,1.0,2013-10-01 09:29:00,2013-09-03 16:54:00,0,27.690972222222218,3
1,4,4,0.0,2.0,2013-10-18 13:52:00,2013-09-03 16:13:00,1,44.90208333333333,2
1,6,46,0.0,1.0,2013-12-10 08:46:00,2013-09-03 16:39:00,0,97.67152777777778,4
1,7,6,0.0,1.0,2013-10-03 10:04:00,2013-09-03 16:43:00,0,29.722916666666666,3
